protocol,subset,condition,fold,held_out,lambda,train_median_err_pct,n_train_views
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C2,33,brics-odroid-027_cam0,10.0,8.836,147
LOCO_PHYSICAL_CAMERA,ALL_COMMON,S1,34,brics-odroid-027_cam1,3.0,8.5431,150
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C1,34,brics-odroid-027_cam1,10.0,8.7773,150
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C2,34,brics-odroid-027_cam1,10.0,8.6041,150
LOCO_PHYSICAL_CAMERA,ALL_COMMON,S1,35,brics-odroid-028_cam0,3.0,8.5224,149
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C1,35,brics-odroid-028_cam0,0.01,8.6933,149
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C2,35,brics-odroid-028_cam0,3.0,8.4311,149
LOCO_PHYSICAL_CAMERA,ALL_COMMON,S1,36,brics-odroid-029_cam0,3.0,8.5431,148
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C1,36,brics-odroid-029_cam0,10.0,8.7773,148
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C2,36,brics-odroid-029_cam0,10.0,8.6041,148
LOCO_PHYSICAL_CAMERA,ALL_COMMON,S1,37,brics-odroid-029_cam1,3.0,8.5431,148
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C1,37,brics-odroid-029_cam1,0.01,8.78,148
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C2,37,brics-odroid-029_cam1,3.0,8.7023,148
LOCO_PHYSICAL_CAMERA,ALL_COMMON,S1,38,brics-odroid-030_cam0,3.0,8.4844,147
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C1,38,brics-odroid-030_cam0,10.0,8.4405,147
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C2,38,brics-odroid-030_cam0,10.0,8.3643,147
LOCO_PHYSICAL_CAMERA,ALL_COMMON,S1,39,brics-odroid-030_cam1,3.0,8.5034,148
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C1,39,brics-odroid-030_cam1,10.0,8.541,148
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C2,39,brics-odroid-030_cam1,3.0,8.4291,148
LOCO_PHYSICAL_CAMERA,DIVERSE16,S1,1,brics-odroid-001_cam1,0.01,9.9311,104
LOCO_PHYSICAL_CAMERA,DIVERSE16,C1,1,brics-odroid-001_cam1,10.0,9.7501,104
LOCO_PHYSICAL_CAMERA,DIVERSE16,C2,1,brics-odroid-001_cam1,10.0,8.9164,104
LOCO_PHYSICAL_CAMERA,DIVERSE16,S1,2,brics-odroid-002_cam0,3.0,10.2057,103
LOCO_PHYSICAL_CAMERA,DIVERSE16,C1,2,brics-odroid-002_cam0,10.0,9.7117,103
LOCO_PHYSICAL_CAMERA,DIVERSE16,C2,2,brics-odroid-002_cam0,10.0,9.0367,103
LOCO_PHYSICAL_CAMERA,DIVERSE16,S1,3,brics-odroid-006_cam0,0.01,9.9913,103
LOCO_PHYSICAL_CAMERA,DIVERSE16,C1,3,brics-odroid-006_cam0,10.0,9.7117,103
LOCO_PHYSICAL_CAMERA,DIVERSE16,C2,3,brics-odroid-006_cam0,10.0,8.9621,103
