sequence,camera,frame,hand,view_class,median_err_distortion_on_px,median_err_distortion_off_px,delta_px,distortion_helps
p44-dog-0004/004,brics-odroid-022_cam1,16,left,good,9.2308,9.3452,0.1144,1
p44-dog-0004/004,brics-odroid-025_cam0,304,right,good,8.5894,8.9065,0.317,1
p52-instrument-0034/034,brics-odroid-007_cam1,84,right,good,3.6949,9.75,6.0551,1
p41-boxing-0021/021,brics-odroid-007_cam0,234,right,good,3.1562,112.5179,109.3617,1
p36-tea-0010/010,brics-odroid-015_cam1,85,left,good,4.9445,16.8884,11.9439,1
p36-tea-0010/010,brics-odroid-021_cam0,136,right,good,7.1528,30.1938,23.041,1
p44-dog-0004/004,brics-odroid-025_cam0,96,left,good,7.6124,9.1489,1.5365,1
p52-instrument-0034/034,brics-odroid-007_cam1,78,left,good,3.1562,13.3416,10.1854,1
p41-boxing-0021/021,brics-odroid-012_cam0,108,right,good,7.6007,7.6291,0.0284,1
p44-dog-0004/004,brics-odroid-020_cam0,160,left,good,5.5262,5.1742,-0.352,0
p41-boxing-0021/021,brics-odroid-020_cam0,90,left,good,2.9143,7.5293,4.615,1
p41-boxing-0021/021,brics-odroid-030_cam0,90,left,good,9.5086,9.3079,-0.2007,0
p52-instrument-0034/034,brics-odroid-015_cam1,36,right,good,5.7127,5.5941,-0.1186,0
p41-plant-0004/004,brics-odroid-006_cam0,40,right,good,7.5777,8.2048,0.6271,1
p44-dog-0004/004,brics-odroid-010_cam0,288,right,good,7.5718,9.4015,1.8298,1
p41-boxing-0021/021,brics-odroid-019_cam1,108,right,good,5.1099,11.8284,6.7185,1
p41-boxing-0021/021,brics-odroid-015_cam1,342,right,good,3.1918,3.1535,-0.0383,0
p41-plant-0004/004,brics-odroid-022_cam1,88,right,good,4.8084,14.1647,9.3563,1
p41-plant-0004/004,brics-odroid-025_cam0,96,right,good,9.7287,10.791,1.0623,1
p52-instrument-0034/034,brics-odroid-024_cam0,66,right,good,6.364,5.5986,-0.7654,0
p44-dog-0004/004,brics-odroid-009_cam1,304,right,good,2.268,20.4501,18.1821,1
p41-plant-0004/004,brics-odroid-023_cam0,0,left,good,9.7996,10.0996,0.3,1
p52-instrument-0034/034,brics-odroid-012_cam0,102,right,good,2.9268,2.8267,-0.1002,0
p41-boxing-0021/021,brics-odroid-030_cam0,162,left,good,5.5012,12.0453,6.5441,1
p41-plant-0004/004,brics-odroid-007_cam0,8,right,good,7.9329,50.4108,42.4778,1
p41-boxing-0021/021,brics-odroid-009_cam1,36,left,good,4.4375,7.1658,2.7283,1
p52-instrument-0034/034,brics-odroid-025_cam1,30,right,good,6.9457,7.6791,0.7335,1
p36-tea-0010/010,brics-odroid-015_cam0,269,right,good,5.4635,25.0295,19.566,1
p41-boxing-0021/021,brics-odroid-030_cam1,198,left,good,9.433,18.365,8.932,1
p41-boxing-0021/021,brics-odroid-007_cam0,0,left,good,3.2425,21.3204,18.0779,1
p44-dog-0004/004,brics-odroid-015_cam1,48,right,good,5.5236,4.3035,-1.2202,0
p52-instrument-0034/034,brics-odroid-011_cam0,96,left,good,2.8243,6.8472,4.023,1
p36-tea-0010/010,brics-odroid-023_cam0,34,left,good,4.9128,6.8297,1.9169,1
p36-tea-0010/010,brics-odroid-025_cam1,337,right,good,4.624,4.2515,-0.3725,0
p52-instrument-0034/034,brics-odroid-015_cam0,24,right,good,3.2142,9.2362,6.022,1
p41-boxing-0021/021,brics-odroid-025_cam0,90,left,good,9.7627,12.1471,2.3843,1
p52-instrument-0034/034,brics-odroid-007_cam1,96,right,good,3.844,10.2673,6.4233,1
p44-dog-0004/004,brics-odroid-007_cam0,176,right,good,2.4685,24.5702,22.1018,1
p52-instrument-0034/034,brics-odroid-027_cam0,18,left,good,6.049,4.7191,-1.3299,0
p44-dog-0004/004,brics-odroid-025_cam1,160,right,good,7.3777,7.1827,-0.195,0
p41-boxing-0021/021,brics-odroid-009_cam1,216,right,good,3.5809,25.8862,22.3054,1
p41-plant-0004/004,brics-odroid-021_cam1,8,left,good,9.5824,9.121,-0.4615,0
p41-boxing-0021/021,brics-odroid-020_cam0,54,right,good,3.853,4.6207,0.7677,1
p36-tea-0010/010,brics-odroid-025_cam1,34,right,good,7.5373,9.0107,1.4734,1
p36-tea-0010/010,brics-odroid-015_cam1,337,right,good,5.9375,8.6083,2.6709,1
p52-instrument-0034/034,brics-odroid-006_cam0,96,right,good,7.3062,7.5337,0.2275,1
p41-boxing-0021/021,brics-odroid-025_cam1,216,left,good,9.9499,19.7231,9.7732,1
p52-instrument-0034/034,brics-odroid-022_cam1,18,left,good,3.5021,17.6438,14.1417,1
p52-instrument-0034/034,brics-odroid-011_cam0,6,left,good,2.7466,6.7022,3.9556,1
p44-dog-0004/004,brics-odroid-010_cam0,224,right,good,6.2416,5.8869,-0.3546,0
p52-instrument-0034/034,brics-odroid-016_cam0,72,left,good,8.9861,57.6007,48.6147,1
p52-instrument-0034/034,brics-odroid-030_cam1,0,left,good,9.9993,94.2156,84.2163,1
p36-tea-0010/010,brics-odroid-015_cam0,85,right,good,12.1522,37.1582,25.006,1
