sequence,camera,frame,hand,view_class,median_err_px,err_mirror_x_px,err_mirror_y_px,err_swap_uv_px,err_negate_x_px,resid_after_similarity_px,resid_after_translation_px,err_vs_other_hand_3d_px
p36-tea-0010/010,brics-odroid-015_cam1,85,left,good,4.9445,480.7908,436.3419,1048.0455,1760.7657,3.9521,5.0646,153.9753
p36-tea-0010/010,brics-odroid-021_cam0,136,right,good,7.1528,357.5102,700.3057,1122.8141,1637.4955,6.7305,7.4522,192.412
p44-dog-0004/004,brics-odroid-025_cam0,96,left,good,7.6124,370.2953,77.38,146.3827,909.8298,5.9687,6.2529,303.36
p52-instrument-0034/034,brics-odroid-007_cam1,78,left,good,3.1562,272.1517,534.5867,574.4825,1007.893,2.2958,2.6968,252.9746
p41-boxing-0021/021,brics-odroid-012_cam0,108,right,good,7.6007,38.773,238.5908,578.6959,1288.7309,4.6194,6.1543,155.0593
p44-dog-0004/004,brics-odroid-020_cam0,160,left,good,5.5262,101.0657,306.6154,596.1891,1312.4278,4.3041,4.2373,142.6865
p41-boxing-0021/021,brics-odroid-020_cam0,90,left,good,2.9143,451.1506,336.212,984.2259,1731.1493,3.9003,3.4515,147.9589
p41-boxing-0021/021,brics-odroid-030_cam0,90,left,good,9.5086,209.8807,87.7141,489.152,1489.6995,4.2161,7.8365,255.1827
p52-instrument-0034/034,brics-odroid-015_cam1,36,right,good,5.7127,130.8905,455.7281,790.6237,1410.7828,4.1507,3.8928,329.6824
p41-plant-0004/004,brics-odroid-006_cam0,40,right,good,7.5777,142.955,61.5195,432.6068,1373.7533,5.0133,4.5996,127.9031
p44-dog-0004/004,brics-odroid-010_cam0,288,right,good,7.5718,187.1516,123.7912,164.24,1092.849,5.8932,7.5622,82.7235
p41-boxing-0021/021,brics-odroid-019_cam1,108,right,good,5.1099,572.8797,221.281,966.2155,1852.8678,4.89,3.8903,387.4889
p41-boxing-0021/021,brics-odroid-015_cam1,342,right,good,3.1918,49.1374,210.1933,575.848,1319.0735,2.714,3.2422,190.0586
p41-plant-0004/004,brics-odroid-022_cam1,88,right,good,4.8084,304.3975,454.7298,499.5758,975.6919,5.0736,5.8686,115.5377
p41-plant-0004/004,brics-odroid-025_cam0,96,right,good,9.7287,156.6404,275.5119,685.9253,1436.5515,8.2455,7.8913,174.6315
p52-instrument-0034/034,brics-odroid-024_cam0,66,right,good,6.364,202.891,108.5772,338.9115,1077.112,6.6488,5.6224,323.0985
p44-dog-0004/004,brics-odroid-009_cam1,304,right,good,2.268,670.5776,51.7882,96.4394,609.4322,2.2888,2.4304,48.8166
p41-plant-0004/004,brics-odroid-023_cam0,0,left,good,9.7996,129.3087,122.0057,405.4214,1160.5099,12.5299,10.465,111.8185
p52-instrument-0034/034,brics-odroid-012_cam0,102,right,good,2.9268,168.3517,299.0773,491.8289,1111.6533,2.4878,2.8227,338.497
p41-boxing-0021/021,brics-odroid-030_cam0,162,left,good,5.5012,194.7252,445.6251,226.1169,1474.7198,5.0311,5.7888,565.7385
p41-plant-0004/004,brics-odroid-007_cam0,8,right,good,7.9329,802.323,100.5273,253.3654,477.7236,6.5107,8.9028,95.4893
p41-boxing-0021/021,brics-odroid-009_cam1,36,left,good,4.4375,515.527,160.8517,148.1295,764.492,3.1287,3.8147,148.2129
p52-instrument-0034/034,brics-odroid-025_cam1,30,right,good,6.9457,160.7124,101.1102,257.5048,1119.2986,4.9026,4.386,516.0847
p36-tea-0010/010,brics-odroid-015_cam0,269,right,good,5.4635,389.274,611.1911,555.6665,890.7357,4.917,4.7825,
p41-boxing-0021/021,brics-odroid-030_cam1,198,left,good,9.433,390.7718,326.1286,368.7963,889.351,7.2947,10.1925,277.926
p41-boxing-0021/021,brics-odroid-007_cam0,0,left,good,3.2425,644.6688,26.0501,38.3926,635.3313,2.8295,2.6463,153.566
p44-dog-0004/004,brics-odroid-015_cam1,48,right,good,5.5236,168.4525,186.366,644.1545,1448.4319,3.2705,3.2541,125.741
p52-instrument-0034/034,brics-odroid-011_cam0,96,left,good,2.8243,351.0281,188.5846,761.9716,1631.0262,2.6516,2.2466,291.6174
p36-tea-0010/010,brics-odroid-023_cam0,34,left,good,4.9128,449.1104,160.8331,87.6307,830.8994,4.5264,3.7696,260.6995
p36-tea-0010/010,brics-odroid-025_cam1,337,right,good,4.624,185.808,153.3218,160.7578,1094.2181,4.6216,4.4041,
p52-instrument-0034/034,brics-odroid-015_cam0,24,right,good,3.2142,325.6617,472.6287,496.3727,954.3461,3.5793,3.8637,377.295
p41-boxing-0021/021,brics-odroid-025_cam0,90,left,good,9.7627,394.2641,188.9371,61.1556,885.7581,8.149,8.1748,267.5136
p52-instrument-0034/034,brics-odroid-007_cam1,96,right,good,3.844,457.47,130.5258,163.0469,822.53,2.3965,2.9692,244.4414
p44-dog-0004/004,brics-odroid-007_cam0,176,right,good,2.4685,677.0906,110.9211,148.3721,602.9165,2.3868,2.0345,96.1175
p52-instrument-0034/034,brics-odroid-027_cam0,18,left,good,6.049,52.148,362.8189,119.3429,1284.1857,3.4404,3.1291,297.8501
p44-dog-0004/004,brics-odroid-025_cam1,160,right,good,7.3777,89.7438,103.1103,323.5324,1190.2724,4.8203,6.6365,250.8096
p41-boxing-0021/021,brics-odroid-009_cam1,216,right,good,3.5809,747.2685,248.5791,55.8388,532.8303,3.7685,3.3063,96.6063
p41-plant-0004/004,brics-odroid-021_cam1,8,left,good,9.5824,116.9195,458.235,804.0239,1396.6535,4.8026,6.8516,74.9786
p41-boxing-0021/021,brics-odroid-020_cam0,54,right,good,3.853,159.2604,294.9655,733.5253,1439.2333,3.2342,3.8445,276.8539
p36-tea-0010/010,brics-odroid-025_cam1,34,right,good,7.5373,142.1643,338.438,66.5285,1138.2567,7.6054,6.5223,288.1364
p36-tea-0010/010,brics-odroid-015_cam1,337,right,good,5.9375,198.7725,389.0031,805.4316,1478.7531,3.7756,3.943,
p52-instrument-0034/034,brics-odroid-006_cam0,96,right,good,7.3062,314.1345,123.4261,701.5052,1594.1335,8.9886,7.0583,248.8003
p41-boxing-0021/021,brics-odroid-025_cam1,216,left,good,9.9499,411.7011,443.6571,1019.0688,1691.7011,8.9933,8.0521,192.8468
p52-instrument-0034/034,brics-odroid-022_cam1,18,left,good,3.5021,444.7865,409.9406,1007.2365,1724.7858,2.2437,2.1443,358.5629
p52-instrument-0034/034,brics-odroid-011_cam0,6,left,good,2.7466,346.5328,183.6446,756.4908,1626.5315,2.3201,2.6693,279.3837
