condition,sequence,camera,physical_camera_id,L_hand_max_px,preferred_q,boundary,correct_direction,f_scene,f_reference
N0,p44-dog-0004,brics-odroid-021_cam1,brics-odroid-021_cam1,1.39019376039505,1.0141841173171997,0,1,806.3634033203125,920.716309
N0,p44-dog-0004,brics-odroid-022_cam0,brics-odroid-022_cam0,1.9139822721481323,1.4795417785644531,0,1,825.0638732910156,909.549255
N0,p44-dog-0004,brics-odroid-022_cam1,brics-odroid-022_cam1,0.9623805284500122,1.410110592842102,0,1,725.3905639648438,900.313538
N0,p44-dog-0004,brics-odroid-023_cam0,brics-odroid-023_cam0,1.0138180255889893,0.993506669998169,0,0,832.4121704101562,901.922424
N0,p44-dog-0004,brics-odroid-024_cam0,brics-odroid-024_cam0,1.5132722854614258,1.4795417785644531,0,1,737.3396606445312,892.527466
N0,p44-dog-0004,brics-odroid-024_cam1,brics-odroid-024_cam1,3.011186122894287,1.5,1,1,792.0252685546875,920.34082
N0,p44-dog-0004,brics-odroid-025_cam0,brics-odroid-025_cam0,1.4305388927459717,1.4897358417510986,0,1,658.8664855957031,903.565063
N0,p44-dog-0004,brics-odroid-025_cam1,brics-odroid-025_cam1,2.4355310201644897,1.4198262691497803,0,1,706.2935485839844,894.818848
N0,p44-dog-0004,brics-odroid-026_cam0,brics-odroid-026_cam0,6.684125661849976,1.2291730642318726,0,1,891.555419921875,895.203247
N0,p44-dog-0004,brics-odroid-026_cam1,brics-odroid-026_cam1,1.3038749694824219,1.5,1,1,895.3971557617188,935.543335
N0,p44-dog-0004,brics-odroid-027_cam0,brics-odroid-027_cam0,1.1839474439620972,0.7706133127212524,0,0,901.2558898925781,920.350464
N0,p44-dog-0004,brics-odroid-029_cam0,brics-odroid-029_cam0,1.921339988708496,1.5,1,1,825.6123352050781,919.495972
N0,p44-dog-0004,brics-odroid-029_cam1,brics-odroid-029_cam1,6.5048933029174805,1.2634005546569824,0,1,793.1149291992188,927.140747
N0,p44-dog-0004,brics-odroid-030_cam0,brics-odroid-030_cam0,1.92055082321167,1.4897358417510986,0,1,776.0543518066406,945.355957
N0,p52-instrument-0034,brics-odroid-002_cam0,brics-odroid-002_cam0,152.9782327413559,1.5,1,1,885.4076538085938,931.786255
N0,p52-instrument-0034,brics-odroid-007_cam0,brics-odroid-007_cam0,2.0819817185401917,1.5,1,1,875.3183288574219,919.000183
N0,p52-instrument-0034,brics-odroid-007_cam1,brics-odroid-007_cam1,3.6356146931648254,1.2808700799942017,0,1,809.2392578125,945.903381
N0,p52-instrument-0034,brics-odroid-012_cam1,brics-odroid-012_cam1,1.8479769229888916,1.0072442293167114,0,1,850.6044006347656,919.386963
N0,p52-instrument-0034,brics-odroid-015_cam1,brics-odroid-015_cam1,6.230754017829895,1.5,1,1,789.217529296875,908.360901
N0,p52-instrument-0034,brics-odroid-016_cam0,brics-odroid-016_cam0,8.393039494752884,1.5,1,0,984.5509338378906,924.890198
N0,p52-instrument-0034,brics-odroid-021_cam0,brics-odroid-021_cam0,10.689880311489105,1.4694175720214844,0,1,802.6807556152344,925.329956
N0,p52-instrument-0034,brics-odroid-023_cam0,brics-odroid-023_cam0,3.4010119438171387,1.2124086618423462,0,1,855.3344421386719,918.969177
N0,p52-instrument-0034,brics-odroid-024_cam0,brics-odroid-024_cam0,2.183250665664673,1.1088758707046509,0,1,863.1531066894531,924.838501
N0,p52-instrument-0034,brics-odroid-025_cam1,brics-odroid-025_cam1,8.958550989627838,1.5,1,1,874.7498474121094,894.408875
N0,p52-instrument-0034,brics-odroid-027_cam0,brics-odroid-027_cam0,0.6846703290939331,0.5696762800216675,0,0,880.9151611328125,907.767273
N0,p52-instrument-0034,brics-odroid-030_cam0,brics-odroid-030_cam0,20.201849222183228,0.8660253882408142,0,0,772.4967651367188,922.447449
N0,p52-instrument-0034,brics-odroid-030_cam1,brics-odroid-030_cam1,36.77157020568848,0.993506669998169,0,0,777.1685180664062,898.433655
N1,p36-tea-0010,brics-odroid-001_cam0,brics-odroid-001_cam0,13.625972747802734,1.5,1,1,782.4989318847656,921.610657
N1,p36-tea-0010,brics-odroid-001_cam1,brics-odroid-001_cam1,12.423969507217407,0.8197370767593384,0,0,809.0219116210938,918.354065
N1,p36-tea-0010,brics-odroid-002_cam0,brics-odroid-002_cam0,13.38370531797409,1.4296088218688965,0,1,877.6285705566406,940.340637
N1,p36-tea-0010,brics-odroid-006_cam0,brics-odroid-006_cam0,1.3975551128387451,0.9665910005569458,0,0,852.055908203125,919.383789
N1,p36-tea-0010,brics-odroid-007_cam0,brics-odroid-007_cam0,7.67391699552536,1.3813608884811401,0,1,883.5841674804688,924.420349
N1,p36-tea-0010,brics-odroid-007_cam1,brics-odroid-007_cam1,10.769794225692749,1.4198262691497803,0,1,868.883056640625,931.304504
N1,p36-tea-0010,brics-odroid-009_cam1,brics-odroid-009_cam1,4.670100569725037,1.147606372833252,0,1,756.7066955566406,931.934998
N1,p36-tea-0010,brics-odroid-010_cam0,brics-odroid-010_cam0,4.456625699996948,0.8901407122612,0,1,956.4916076660156,932.026672
N1,p36-tea-0010,brics-odroid-010_cam1,brics-odroid-010_cam1,1.1496777534484863,0.9024490118026733,0,0,815.4442138671875,934.134155
N1,p36-tea-0010,brics-odroid-011_cam0,brics-odroid-011_cam0,0.49187445640563965,0.959976851940155,0,0,803.4896240234375,922.774414
