condition,sequence,camera,physical_camera_id,f_scene_only,f_reference,f_lam_0.01,f_lam_0.03,f_lam_0.1,f_lam_0.3,f_lam_1.0,f_lam_3.0,f_lam_10.0
N3,p44-dog-0004,brics-odroid-017_cam1,brics-odroid-017_cam1,852.8450653186485,931.661072,852.8456537306064,852.8468316544786,852.8509659736388,852.862878524167,852.9057780019335,853.0397100743039,853.6991426217606
N3,p44-dog-0004,brics-odroid-019_cam1,brics-odroid-019_cam1,1002.7682279600791,958.992859,1002.8496011345475,1003.012329590919,1003.5816913570127,1005.2068302925286,1010.875721586327,1026.9142761787493,1098.963792061208
N3,p44-dog-0004,brics-odroid-020_cam0,brics-odroid-020_cam0,756.7109672951323,931.864014,756.7208158577275,756.7405370265353,756.809814605396,757.0099492201006,757.7371254889499,760.0731347922783,767.4812577604424
N3,p44-dog-0004,brics-odroid-020_cam1,brics-odroid-020_cam1,841.4328944591408,945.561951,841.430646471835,841.4261506082015,841.4104162506673,841.3654709283463,841.2082786988656,840.7601533917666,839.2032360834728
N3,p44-dog-0004,brics-odroid-021_cam0,brics-odroid-021_cam0,790.3062444968369,920.005005,790.3061462776998,790.3059499704785,790.3052642682034,790.3033168119613,790.2966342542181,790.2786166090301,790.2258857388036
N3,p44-dog-0004,brics-odroid-021_cam1,brics-odroid-021_cam1,806.3634350704879,920.716309,806.3631134983444,806.3624703510073,806.3602193033042,806.3537874639399,806.3312728231771,806.2669178114418,806.0413543360714
N3,p44-dog-0004,brics-odroid-022_cam0,brics-odroid-022_cam0,825.0639057775104,909.549255,825.0666803286152,825.0722263022816,825.0916044220528,825.1466909619281,825.3362912048299,825.8519718965902,827.3997514551822
N3,p44-dog-0004,brics-odroid-022_cam1,brics-odroid-022_cam1,725.3905925267512,900.313538,725.3900883648064,725.3890759157206,725.3854884329927,725.3748466489928,725.3323321269283,725.1356900834355,721.9211672687194
N3,p44-dog-0004,brics-odroid-023_cam0,brics-odroid-023_cam0,832.4122031859864,901.922424,832.4125228681993,832.4131636636123,832.4154215856153,832.4220054111221,832.4467167338086,832.5355906462784,833.6618921939677
N3,p44-dog-0004,brics-odroid-024_cam0,brics-odroid-024_cam0,737.3396896769275,892.527466,737.3420502262406,737.3467641483843,737.3631879032872,737.4094796103384,737.5644581355747,737.9545997944526,738.9063880455772
N3,p44-dog-0004,brics-odroid-024_cam1,brics-odroid-024_cam1,792.0252997403043,920.34082,792.0313773680984,792.0435317623269,792.0860630999709,792.2075037559233,792.6316444973199,793.8357996901852,797.4905047395686
N3,p44-dog-0004,brics-odroid-025_cam0,brics-odroid-025_cam0,658.8665115382561,903.565063,658.8675383957394,658.8695921681159,658.8767809742906,658.8973255892333,658.9692920978138,659.1754294318489,659.90301712702
N3,p44-dog-0004,brics-odroid-025_cam1,brics-odroid-025_cam1,706.2935763939577,894.818848,706.2974481823219,706.3052361794257,706.3329696226862,706.4165216332784,706.7707387455835,708.9772147952049,711.0150833063121
N3,p44-dog-0004,brics-odroid-026_cam0,brics-odroid-026_cam0,891.5554550264447,895.203247,891.5694610342032,891.59747144686,891.6954910641657,891.975402957461,892.9534156935364,895.7332546412401,905.2913325065266
N3,p44-dog-0004,brics-odroid-026_cam1,brics-odroid-026_cam1,895.3971910175553,935.543335,895.395629267522,895.39250577065,895.3815735651308,895.3503389796465,895.2410212839069,894.9287137576351,893.8359729316139
N3,p44-dog-0004,brics-odroid-027_cam0,brics-odroid-027_cam0,901.2559253790995,920.350464,901.2501680585827,901.2386531959698,901.1983488501202,901.0831736296495,900.6798275146245,899.5254108324843,896.3802384722113
N3,p44-dog-0004,brics-odroid-029_cam0,brics-odroid-029_cam0,825.6123677131714,919.495972,825.619043050313,825.6323932618875,825.6791141444777,825.8125607545369,826.2791387755599,827.6080740365117,832.2127865142148
N3,p44-dog-0004,brics-odroid-029_cam1,brics-odroid-029_cam1,793.1149604277394,927.140747,793.1379542778095,793.1849364091389,793.3606080068648,793.9838112968234,797.0716751855688,800.3455191122312,811.4985542043905
N3,p44-dog-0004,brics-odroid-030_cam0,brics-odroid-030_cam0,776.0543823634091,945.355957,776.0564335899309,776.060536064966,776.0748949584978,776.1159223478991,776.2595413060234,776.6700792293207,778.1092757401694
N3,p52-instrument-0034,brics-odroid-002_cam0,brics-odroid-002_cam0,885.4076886710965,931.786255,885.3887204071567,885.3504726619857,885.2132466700255,884.7899168494623,882.8119745906673,877.2634866843042,869.7395439030769
N3,p52-instrument-0034,brics-odroid-007_cam0,brics-odroid-007_cam0,875.3183633226615,919.000183,875.3262589364015,875.3420918523111,875.3979486623236,875.5614236749191,876.1831300061208,878.5308106090829,885.7714817385207
N3,p52-instrument-0034,brics-odroid-007_cam1,brics-odroid-007_cam1,809.2392896759104,945.903381,809.2479969422614,809.2654262522431,809.3265844383166,809.5026668598748,810.1350865850391,812.092648036233,818.0586686052156
N3,p52-instrument-0034,brics-odroid-012_cam1,brics-odroid-012_cam1,850.6044341269076,919.386963,850.6036597408311,850.602103640939,850.5965791230673,850.5800927659905,850.5127210504178,850.1660425642538,846.6917091972953
N3,p52-instrument-0034,brics-odroid-015_cam1,brics-odroid-015_cam1,789.217560371939,908.360901,789.222738584447,789.2331458315302,789.2701136580872,789.3806164507605,789.8350527583758,792.2229730162929,794.6926888518491
N3,p52-instrument-0034,brics-odroid-016_cam0,brics-odroid-016_cam0,984.5509726041142,924.890198,984.5581476039785,984.5725374922812,984.6233248374256,984.7721548511422,985.3407881902937,987.5262152867344,992.9851181557335
N3,p52-instrument-0034,brics-odroid-021_cam0,brics-odroid-021_cam0,802.6807872204057,925.329956,802.6953591219294,802.724278734315,802.8232026721957,803.0875414905623,803.8417436649045,805.1496998891878,833.8062406355604
N3,p52-instrument-0034,brics-odroid-023_cam0,brics-odroid-023_cam0,855.3344758170588,918.969177,855.338127082783,855.3454247106847,855.3709150361448,855.443307045328,855.6916834611459,856.36111690841,858.3182521805668
N3,p52-instrument-0034,brics-odroid-024_cam0,brics-odroid-024_cam0,863.1531406756964,924.838501,863.1517349283013,863.1489204246468,863.1390379557947,863.1105277254294,863.0074233608742,862.6811032676515,860.9698878388097
N3,p52-instrument-0034,brics-odroid-025_cam1,brics-odroid-025_cam1,874.7498818549676,894.408875,874.7598025681926,874.7796630913065,874.8493760818575,875.0502964607883,875.774474621695,878.0416552439527,883.1985905061239
N3,p52-instrument-0034,brics-odroid-027_cam0,brics-odroid-027_cam0,880.9151958184258,907.767273,880.9143523067593,880.9126652780182,880.9067606206314,880.8898896841577,880.8308357266457,880.6620614351924,880.0707827152274
N3,p52-instrument-0034,brics-odroid-030_cam0,brics-odroid-030_cam0,772.4967955534099,922.447449,772.5056357388487,772.5233579068448,772.5858278420393,772.7681934465367,773.4554870307185,775.865545231183,782.5678216366217
N3,p52-instrument-0034,brics-odroid-030_cam1,brics-odroid-030_cam1,777.1685486670453,898.433655,777.2304768929629,777.3514181761504,777.7463798281235,778.6775842073222,780.6073732941828,782.4871509154464,783.7454477993168
N4,p36-tea-0010,brics-odroid-001_cam0,brics-odroid-001_cam0,782.4989626952857,921.610657,782.5096328781723,782.5309740832176,782.6056771142787,782.8191899154797,783.567367386072,785.668990558318,790.018074954515
N4,p36-tea-0010,brics-odroid-001_cam1,brics-odroid-001_cam1,809.0219434759466,918.354065,809.0144489720394,808.9994619587477,808.9470283454606,808.7973972198207,808.2757699996993,806.803024088648,801.8925140925752
