q,f,fixed_length_bilateral,candidate_conditioned_bilateral,left_reproj_px,right_reproj_px
0.90867,817.8,0.0,0.002386626202842035,3.51302018996217,2.7287057383774425
0.91493,823.435,0.0,0.0023667828506738963,3.4640333143314193,2.7109760547021446
0.92123,829.108,0.0,0.0023472846336455465,3.4159471983385172,2.6935870570643643
0.92758,834.821,0.0,0.00232812487470999,3.36874212319187,2.6685000645696473
0.93397,840.573,0.0,0.0023098628347595074,3.3223988560668927,2.6357636158022846
0.9404,846.364,0.0,0.002292176978063514,3.27689908976203,2.6034617265898605
0.94688,852.196,0.0,0.0022748085909782174,3.232225270532867,2.571597733634585
0.95341,858.067,0.0,0.002257753227846583,3.188358926759746,2.540159621204685
0.95998,863.979,0.0,0.0022410063744701773,3.14528372706151,2.509137451288778
0.96659,869.932,0.0,0.0022245612658748823,3.1029831968792863,2.478524080869794
0.97325,875.926,0.0,0.0022084123259790574,3.061441546634543,2.4483168393343937
0.97996,881.961,0.0,0.0021925556624173025,3.020643285762347,2.418503808820894
0.98671,888.037,0.0,0.0021769855799294705,2.980573391937903,2.3767399051379985
0.99351,894.156,0.0,0.0021616960995983455,2.941217152321105,2.3327506545181658
1.00035,900.317,0.0,0.0021466827743989664,2.9025606815724307,2.28301157269821
1.00724,906.52,0.0,0.0021319400247829553,2.864590100436361,2.2321681615614146
1.01418,912.766,0.0,0.0021174636760216935,2.8272919830753445,2.1782504255835002
1.02117,919.055,0.0,0.0021032493461990683,2.790652951946641,2.123677016665188
1.02821,925.387,0.0,0.002089290293698841,2.756536556444246,2.0698271852766874
1.03529,931.763,0.0,0.002075582578863799,2.7558148006556507,2.033535974236812
1.04243,938.183,0.0,0.002062122313994088,2.7553848392472116,1.9992368194833428
1.04961,944.647,0.0,0.002048905030709308,2.755238028806691,1.9608590079419896
1.05684,951.155,0.0,0.0020359266827503883,2.7549574945629827,1.9141569751824163
1.06412,957.709,0.0,0.002023182205583116,2.7476361257314377,1.8681383995330294
1.07145,964.307,0.0,0.002010667770197577,2.7371886999911235,1.8227944154042288
1.07883,970.951,0.0,0.001998379465667965,2.706403067426112,1.7830425317256804
1.08627,977.641,0.0,0.0019863127005423174,2.68340147854477,1.7686105860151875
