frame,time_sec,hand,legacy_root_z_m,anycalib_root_z_m,e2_root_z_m
136,4.533,Right,1.16322,0.246173,0.274406
137,4.567,Left,2.227687,0.466938,0.521145
137,4.567,Right,1.160894,0.24569,0.273866
138,4.6,Left,2.211225,0.463524,0.51733
138,4.6,Right,1.167239,0.247005,0.275336
139,4.633,Left,2.226095,0.466608,0.520777
139,4.633,Right,1.168748,0.247319,0.275687
140,4.667,Left,2.242252,0.469957,0.52452
140,4.667,Right,1.163256,0.246179,0.274412
141,4.7,Left,2.211091,0.463497,0.517299
141,4.7,Right,1.167978,0.247161,0.275509
142,4.733,Left,2.213708,0.464039,0.517905
142,4.733,Right,1.165897,0.246732,0.27503
143,4.767,Left,2.211238,0.463526,0.517332
143,4.767,Right,1.17811,0.24926,0.277856
144,4.8,Left,2.225613,0.466507,0.520664
144,4.8,Right,1.155765,0.244624,0.272675
145,4.833,Left,2.211645,0.46361,0.517426
145,4.833,Right,1.156579,0.244794,0.272865
146,4.867,Left,2.182269,0.45752,0.510619
146,4.867,Right,1.170948,0.247775,0.276196
147,4.9,Left,2.192294,0.459599,0.512943
147,4.9,Right,1.159737,0.24545,0.273598
148,4.933,Left,2.187106,0.458523,0.511741
148,4.933,Right,1.152181,0.243884,0.271848
149,4.967,Left,2.182454,0.457558,0.510662
149,4.967,Right,1.15263,0.243977,0.271951
150,5.0,Left,2.185868,0.458266,0.511453
150,5.0,Right,1.155045,0.244477,0.272511
151,5.033,Left,2.189283,0.458973,0.512244
151,5.033,Right,1.167998,0.247162,0.275511
152,5.067,Left,2.188099,0.45873,0.511971
152,5.067,Right,1.157228,0.24493,0.273016
153,5.1,Left,2.193522,0.459854,0.513228
153,5.1,Right,1.1512,0.243682,0.271621
154,5.133,Left,2.166053,0.454158,0.506862
154,5.133,Right,1.182253,0.250119,0.278817
155,5.167,Left,2.216862,0.464693,0.518637
155,5.167,Right,1.1684,0.247243,0.275603
156,5.2,Left,2.18047,0.457148,0.510203
156,5.2,Right,1.162661,0.246051,0.274271
157,5.233,Left,2.205092,0.462252,0.515909
157,5.233,Right,1.169814,0.247536,0.27593
158,5.267,Left,2.187331,0.458571,0.511794
158,5.267,Right,1.168136,0.247191,0.275544
159,5.3,Left,2.203393,0.461903,0.515517
159,5.3,Right,1.151105,0.243659,0.271596
160,5.333,Left,2.209729,0.463216,0.516985
160,5.333,Right,1.149348,0.243295,0.271189
161,5.367,Left,2.204945,0.462224,0.515876
161,5.367,Right,1.14536,0.242469,0.270266
162,5.4,Left,2.221376,0.465632,0.519685
162,5.4,Right,1.153039,0.24406,0.272044
163,5.433,Left,2.240446,0.469586,0.524105
163,5.433,Right,1.166102,0.246768,0.275072
164,5.467,Left,2.229361,0.467287,0.521535
164,5.467,Right,1.16461,0.246462,0.274729
165,5.5,Left,2.218716,0.46508,0.519069
165,5.5,Right,1.172585,0.248119,0.27658
166,5.533,Left,2.211615,0.463609,0.517425
166,5.533,Right,1.168478,0.247259,0.275621
167,5.567,Left,2.228516,0.467115,0.521342
167,5.567,Right,1.173569,0.248316,0.276802
168,5.6,Left,2.227394,0.466881,0.521081
168,5.6,Right,1.177003,0.249028,0.277597
169,5.633,Left,2.224252,0.46623,0.520354
169,5.633,Right,1.164844,0.246509,0.274781
170,5.667,Left,2.219816,0.465308,0.519324
170,5.667,Right,1.165476,0.246641,0.274929
171,5.7,Left,2.230301,0.467483,0.521755
171,5.7,Right,1.169147,0.247403,0.27578
172,5.733,Left,2.201689,0.461551,0.515124
172,5.733,Right,1.169417,0.247458,0.275842
173,5.767,Left,2.18928,0.458978,0.512248
173,5.767,Right,1.168805,0.247331,0.2757
174,5.8,Left,2.185358,0.458165,0.51134
174,5.8,Right,1.173825,0.248371,0.276863
175,5.833,Left,2.192376,0.45962,0.512965
175,5.833,Right,1.16778,0.24712,0.275464
176,5.867,Left,2.216825,0.46469,0.518632
176,5.867,Right,1.169614,0.247505,0.275894
177,5.9,Left,2.182359,0.457542,0.510643
177,5.9,Right,1.179578,0.249568,0.2782
178,5.933,Left,2.158023,0.452496,0.505004
178,5.933,Right,1.182516,0.250172,0.278876
179,5.967,Left,2.174828,0.455981,0.508899
179,5.967,Right,1.182626,0.250195,0.278901
180,6.0,Left,2.216215,0.464562,0.51849
180,6.0,Right,1.182057,0.250077,0.27877
181,6.033,Left,2.170264,0.455035,0.507841
181,6.033,Right,1.174146,0.248438,0.276937
182,6.067,Left,2.194971,0.460158,0.513567
182,6.067,Right,1.167926,0.247149,0.275497
