frame,time_sec,hand,legacy_root_z_m,anycalib_root_z_m,e2_root_z_m
163,5.433,Right,1.65525,0.327778,0.371646
164,5.467,Left,1.039863,0.207781,0.235278
164,5.467,Right,1.633056,0.32345,0.366728
165,5.5,Left,1.037768,0.207372,0.234814
165,5.5,Right,1.651942,0.327131,0.370912
166,5.533,Left,1.058265,0.211369,0.239356
166,5.533,Right,1.664852,0.329649,0.373773
167,5.567,Left,1.071256,0.213902,0.242234
167,5.567,Right,1.735467,0.343427,0.38943
168,5.6,Left,1.085684,0.216716,0.245433
168,5.6,Right,1.78541,0.353167,0.400497
169,5.633,Left,1.078136,0.215244,0.24376
169,5.633,Right,1.864087,0.368507,0.417931
170,5.667,Left,1.068817,0.213427,0.241694
170,5.667,Right,1.72854,0.342074,0.387892
171,5.7,Left,1.057805,0.21128,0.239255
171,5.7,Right,1.740649,0.344435,0.390575
172,5.733,Left,1.06198,0.212093,0.240179
172,5.733,Right,1.703863,0.33726,0.382422
173,5.767,Left,1.055507,0.210832,0.238745
173,5.767,Right,1.687312,0.334034,0.378755
174,5.8,Left,1.038263,0.207469,0.234924
174,5.8,Right,1.697712,0.336062,0.38106
175,5.833,Left,1.024509,0.204783,0.231872
175,5.833,Right,1.527705,0.302904,0.34338
176,5.867,Left,1.013745,0.202682,0.229485
176,5.867,Right,1.541535,0.305601,0.346444
177,5.9,Left,1.008254,0.201608,0.228265
177,5.9,Right,1.730784,0.342515,0.388393
178,5.933,Left,1.008622,0.201684,0.22835
178,5.933,Right,1.86608,0.368897,0.418373
179,5.967,Left,0.989995,0.198051,0.224222
179,5.967,Right,1.831658,0.362185,0.410746
180,6.0,Left,0.9903,0.198112,0.224291
180,6.0,Right,1.880257,0.371663,0.421517
181,6.033,Left,0.979945,0.19609,0.221994
181,6.033,Right,1.874949,0.370624,0.420337
182,6.067,Left,0.987365,0.197538,0.223639
182,6.067,Right,1.787106,0.353497,0.400873
183,6.1,Left,0.978788,0.195865,0.221738
183,6.1,Right,1.804569,0.356902,0.404742
184,6.133,Left,0.99132,0.198308,0.224514
184,6.133,Right,1.776483,0.351423,0.398517
185,6.167,Left,1.011435,0.202232,0.228974
185,6.167,Right,1.779126,0.351939,0.399103
186,6.2,Left,1.00452,0.200883,0.22744
186,6.2,Right,1.880304,0.371675,0.42153
187,6.233,Left,1.005673,0.201109,0.227697
187,6.233,Right,1.897063,0.374941,0.425242
188,6.267,Left,1.035774,0.206981,0.234369
188,6.267,Right,1.83702,0.363231,0.411934
189,6.3,Left,1.046606,0.209093,0.23677
189,6.3,Right,1.862955,0.36829,0.417684
190,6.333,Left,1.053871,0.210511,0.238381
190,6.333,Right,1.96731,0.388642,0.440812
191,6.367,Left,1.069704,0.213598,0.24189
191,6.367,Right,2.037536,0.402338,0.456376
192,6.4,Left,1.094809,0.218495,0.247454
192,6.4,Right,2.018174,0.398562,0.452085
193,6.433,Left,1.108813,0.221226,0.250558
193,6.433,Right,2.034003,0.401649,0.455592
194,6.467,Left,1.133486,0.226036,0.256025
194,6.467,Right,2.017013,0.39834,0.451832
195,6.5,Left,1.148581,0.228981,0.259371
195,6.5,Right,2.024973,0.399891,0.453594
196,6.533,Left,1.161216,0.231444,0.26217
196,6.533,Right,2.028491,0.400576,0.454373
197,6.567,Left,1.170083,0.233173,0.264134
197,6.567,Right,2.00065,0.395144,0.448201
198,6.6,Left,1.166485,0.232472,0.263338
198,6.6,Right,2.032482,0.401352,0.455255
199,6.633,Left,1.170231,0.233202,0.264168
199,6.633,Right,2.020411,0.398998,0.45258
200,6.667,Left,1.17681,0.234485,0.265626
200,6.667,Right,1.974456,0.390035,0.442395
201,6.7,Left,1.184386,0.235962,0.267304
201,6.7,Right,1.98133,0.391376,0.443919
202,6.733,Left,1.174581,0.234051,0.265132
202,6.733,Right,1.999377,0.394897,0.44792
203,6.767,Left,1.163835,0.231955,0.26275
203,6.767,Right,1.963606,0.387921,0.439992
204,6.8,Left,1.163388,0.231869,0.262652
204,6.8,Right,1.9602,0.387257,0.439237
205,6.833,Left,1.158538,0.230923,0.261577
205,6.833,Right,2.006507,0.396287,0.449499
206,6.867,Left,1.15188,0.229624,0.260102
206,6.867,Right,2.005384,0.396071,0.449253
207,6.9,Left,1.157779,0.230776,0.26141
207,6.9,Right,1.977689,0.390668,0.443114
208,6.933,Left,1.153135,0.229871,0.260381
208,6.933,Right,1.989004,0.392874,0.44562
209,6.967,Left,1.128158,0.225,0.254847
209,6.967,Right,2.011686,0.397298,0.450648
210,7.0,Left,1.116546,0.222736,0.252273
210,7.0,Right,2.015566,0.398056,0.451509
211,7.033,Left,1.088934,0.21735,0.246153
211,7.033,Right,2.01167,0.397296,0.450645
212,7.067,Left,1.07577,0.214783,0.243236
212,7.067,Right,1.931233,0.381609,0.432819
213,7.1,Left,1.059949,0.211698,0.239729
213,7.1,Right,1.925645,0.380519,0.43158
214,7.133,Left,1.040839,0.207972,0.235495
214,7.133,Right,1.925385,0.380473,0.431527
215,7.167,Left,1.044953,0.208773,0.236406
215,7.167,Right,1.9169,0.378818,0.429646
216,7.2,Left,1.051393,0.210028,0.237833
216,7.2,Right,1.912514,0.37796,0.428672
217,7.233,Left,1.011712,0.202288,0.229036
217,7.233,Right,1.968157,0.388808,0.441
218,7.267,Left,1.009402,0.201837,0.228524
218,7.267,Right,1.934259,0.382195,0.433486
219,7.3,Left,0.991017,0.198253,0.224451
219,7.3,Right,1.949108,0.38509,0.436775
220,7.333,Left,0.978463,0.195806,0.22167
220,7.333,Right,1.870131,0.369689,0.419274
221,7.367,Left,0.973164,0.194769,0.220492
