camera,model,N,n_views,median_rel_err_pct
brics-odroid-017_cam0,pf_uncentered,1,4,13.020239382717111
brics-odroid-017_cam0,pf_uncentered,2,4,13.020239382717111
brics-odroid-017_cam0,pf_uncentered,4,4,11.700316670944972
brics-odroid-017_cam0,pf_uncentered,8,4,10.755883083845635
brics-odroid-017_cam1,anycalib_gen,1,4,7.033664152915774
brics-odroid-017_cam1,anycalib_gen,2,4,7.033664152915775
brics-odroid-017_cam1,anycalib_gen,4,4,7.010563342418672
brics-odroid-017_cam1,anycalib_gen,8,4,7.070483309261203
brics-odroid-017_cam1,geocalib_distorted,1,4,14.622128575255147
brics-odroid-017_cam1,geocalib_distorted,2,4,14.622128575255147
brics-odroid-017_cam1,geocalib_distorted,4,4,14.695943844159679
brics-odroid-017_cam1,geocalib_distorted,8,4,15.040339369796143
brics-odroid-017_cam1,pf_uncentered,1,4,16.22580761572013
brics-odroid-017_cam1,pf_uncentered,2,4,16.22580761572013
brics-odroid-017_cam1,pf_uncentered,4,4,17.104498752458753
brics-odroid-017_cam1,pf_uncentered,8,4,17.085892564118186
brics-odroid-019_cam1,anycalib_gen,1,4,3.535971463325282
brics-odroid-019_cam1,anycalib_gen,2,4,3.5359714633252812
brics-odroid-019_cam1,anycalib_gen,4,4,2.914490666261186
brics-odroid-019_cam1,anycalib_gen,8,4,2.4622364130183896
brics-odroid-019_cam1,geocalib_distorted,1,4,38.52797368549594
brics-odroid-019_cam1,geocalib_distorted,2,4,38.52797368549593
brics-odroid-019_cam1,geocalib_distorted,4,4,39.31333644124564
brics-odroid-019_cam1,geocalib_distorted,8,4,40.44994100332695
brics-odroid-019_cam1,pf_uncentered,1,4,18.08904617430146
brics-odroid-019_cam1,pf_uncentered,2,4,16.330741340816527
brics-odroid-019_cam1,pf_uncentered,4,4,16.779692625857997
brics-odroid-019_cam1,pf_uncentered,8,4,17.516567534361645
brics-odroid-020_cam0,anycalib_gen,1,4,10.603196204615394
brics-odroid-020_cam0,anycalib_gen,2,4,10.603196204615395
brics-odroid-020_cam0,anycalib_gen,4,4,10.54053193596971
brics-odroid-020_cam0,anycalib_gen,8,4,10.406643681401206
brics-odroid-020_cam0,geocalib_distorted,1,4,21.986848381811733
brics-odroid-020_cam0,geocalib_distorted,2,4,20.940670340031
brics-odroid-020_cam0,geocalib_distorted,4,4,20.20081500373346
brics-odroid-020_cam0,geocalib_distorted,8,4,20.06273155036298
brics-odroid-020_cam0,pf_uncentered,1,4,19.06817575688048
brics-odroid-020_cam0,pf_uncentered,2,4,19.06817575688048
brics-odroid-020_cam0,pf_uncentered,4,4,19.168686993225574
brics-odroid-020_cam0,pf_uncentered,8,4,19.19066776153292
brics-odroid-020_cam1,anycalib_gen,1,4,10.134760500524326
brics-odroid-020_cam1,anycalib_gen,2,4,10.134760500524326
brics-odroid-020_cam1,anycalib_gen,4,4,9.952143507645058
brics-odroid-020_cam1,anycalib_gen,8,4,9.847545104854275
brics-odroid-020_cam1,geocalib_distorted,1,4,15.85812633434736
brics-odroid-020_cam1,geocalib_distorted,2,4,15.858126334347359
brics-odroid-020_cam1,geocalib_distorted,4,4,15.492541618724118
brics-odroid-020_cam1,geocalib_distorted,8,4,15.459467456799484
brics-odroid-020_cam1,pf_uncentered,1,4,41.89248288373207
brics-odroid-020_cam1,pf_uncentered,2,4,41.89248288373207
brics-odroid-020_cam1,pf_uncentered,4,4,42.381624462963856
brics-odroid-020_cam1,pf_uncentered,8,4,42.948787555631284
brics-odroid-021_cam0,anycalib_gen,1,5,13.558359757132953
brics-odroid-021_cam0,anycalib_gen,2,5,13.558359757132951
brics-odroid-021_cam0,anycalib_gen,4,5,13.389393660166535
brics-odroid-021_cam0,anycalib_gen,8,5,13.181699372110254
brics-odroid-021_cam0,geocalib_distorted,1,5,16.416443157227587
brics-odroid-021_cam0,geocalib_distorted,2,5,16.38351586149052
brics-odroid-021_cam0,geocalib_distorted,4,5,13.398550243668579
brics-odroid-021_cam0,geocalib_distorted,8,5,12.161074181688491
brics-odroid-021_cam0,pf_uncentered,1,5,70.94577377399906
brics-odroid-021_cam0,pf_uncentered,2,5,70.94577377399906
brics-odroid-021_cam0,pf_uncentered,4,5,71.05594558895783
brics-odroid-021_cam0,pf_uncentered,8,5,71.79391141558357
brics-odroid-021_cam1,anycalib_gen,1,4,13.291956506814238
brics-odroid-021_cam1,anycalib_gen,2,4,13.291956506814238
brics-odroid-021_cam1,anycalib_gen,4,4,13.370138350196655
brics-odroid-021_cam1,anycalib_gen,8,4,13.417383667840621
brics-odroid-021_cam1,geocalib_distorted,1,4,6.824910498458147
brics-odroid-021_cam1,geocalib_distorted,2,4,5.703979371584974
brics-odroid-021_cam1,geocalib_distorted,4,4,5.067057513723485
brics-odroid-021_cam1,geocalib_distorted,8,4,4.370891414450007
brics-odroid-021_cam1,pf_uncentered,1,4,22.9561879218733
brics-odroid-021_cam1,pf_uncentered,2,4,22.9561879218733
brics-odroid-021_cam1,pf_uncentered,4,4,23.349095966850516
brics-odroid-021_cam1,pf_uncentered,8,4,23.634825235633386
brics-odroid-022_cam0,anycalib_gen,1,4,9.042696246611506
brics-odroid-022_cam0,anycalib_gen,2,4,9.042696246611504
brics-odroid-022_cam0,anycalib_gen,4,4,9.166876181504705
brics-odroid-022_cam0,anycalib_gen,8,4,9.147187825124904
