feature,group,target,spearman_rho,ci_lo_camera_cluster,ci_hi_camera_cluster,ci_excludes_zero,naive_p,n_views,deployable,evidence,bh_fdr_q_descriptive
line_orientation_entropy,F_SCENE_GEOM,signed_log_bias,-0.013781907747424991,-0.22325384992093653,0.2101236684655007,0,0.8563522459958437,175,yes,ASSOCIATION only - no causal claim,0.9359169050808459
line_orientation_entropy,F_SCENE_GEOM,abs_log_bias,-0.03328929690998657,-0.247992636690747,0.17862316349487645,0,0.6618638291536808,175,yes,ASSOCIATION only - no causal claim,0.868696275764206
dominant_line_orientation_strength,F_SCENE_GEOM,signed_log_bias,0.14257501119570085,-0.08717504701608407,0.357180706374186,0,0.05980877524890398,175,yes,ASSOCIATION only - no causal claim,0.17942632574671194
dominant_line_orientation_strength,F_SCENE_GEOM,abs_log_bias,-0.07603000447828034,-0.29152552272371623,0.15050700868922115,0,0.31729945893253997,175,yes,ASSOCIATION only - no causal claim,0.5125606644294877
corner_count_over_area,F_SCENE_GEOM,signed_log_bias,-0.012550590592573267,-0.20193627183791044,0.17849575833809625,0,0.8690656975750712,175,yes,ASSOCIATION only - no causal claim,0.9359169050808459
corner_count_over_area,F_SCENE_GEOM,abs_log_bias,0.016059333762790125,-0.17964678215599364,0.2051212416564683,0,0.8329370992746964,175,yes,ASSOCIATION only - no causal claim,0.9849302452483994
vp_consensus_strength,F_SCENE_GEOM,signed_log_bias,0.22855127630989702,0.05933761681136575,0.3778309593022051,1,0.0023489386301433824,175,yes,ASSOCIATION only - no causal claim,0.021601145472610578
vp_consensus_strength,F_SCENE_GEOM,abs_log_bias,-0.16142185400806092,-0.31144333468314034,0.0076405829660354755,0,0.032832697189875464,175,yes,ASSOCIATION only - no causal claim,0.12606587679656078
orthogonal_line_support,F_SCENE_GEOM,signed_log_bias,-0.047466519181756206,-0.26746181090409543,0.1757066879467895,0,0.5327754974334326,175,yes,ASSOCIATION only - no causal claim,0.8352951607230397
orthogonal_line_support,F_SCENE_GEOM,abs_log_bias,0.05929704276110423,-0.1706470480451249,0.28379374382527334,0,0.43569064620239806,175,yes,ASSOCIATION only - no causal claim,0.6777410052037304
gray_mean,F_IMAGE_GLOBAL,signed_log_bias,0.09052171965965071,-0.0973375419788574,0.2694737597373899,0,0.23351401196005778,175,yes,ASSOCIATION only - no causal claim,0.4457994773782921
gray_mean,F_IMAGE_GLOBAL,abs_log_bias,-0.09399910434393194,-0.2858569666889426,0.1106503732239268,0,0.21596777816536333,175,yes,ASSOCIATION only - no causal claim,0.43193555633072667
gray_std,F_IMAGE_GLOBAL,signed_log_bias,0.03811464397671295,-0.17164419155797447,0.2474925999120251,0,0.6165273805336722,175,yes,ASSOCIATION only - no causal claim,0.8352951607230397
gray_std,F_IMAGE_GLOBAL,abs_log_bias,-0.05090013434841022,-0.25360355854285427,0.14866408243792978,0,0.5035249487422958,175,yes,ASSOCIATION only - no causal claim,0.7552874231134438
gray_entropy,F_IMAGE_GLOBAL,signed_log_bias,0.04332288401253919,-0.15190831282037842,0.23666387812155038,0,0.5691742022091403,175,yes,ASSOCIATION only - no causal claim,0.8352951607230397
gray_entropy,F_IMAGE_GLOBAL,abs_log_bias,-0.0007210031347962383,-0.18259662245124803,0.18309748241720175,0,0.9924444472495756,175,yes,ASSOCIATION only - no causal claim,0.9981697474114186
saturation_mean,F_IMAGE_GLOBAL,signed_log_bias,-0.17998208687863865,-0.355643521839972,0.008670856441324148,0,0.017154813442302304,175,yes,ASSOCIATION only - no causal claim,0.07205021645766968
saturation_mean,F_IMAGE_GLOBAL,abs_log_bias,0.17247648902821316,-0.032732462530385274,0.36588683705129665,0,0.02246393203828444,175,yes,ASSOCIATION only - no causal claim,0.10483168284532739
saturation_std,F_IMAGE_GLOBAL,signed_log_bias,-0.045611285266457684,-0.2593601111349415,0.1734297039005737,0,0.5489271428421152,175,yes,ASSOCIATION only - no causal claim,0.8352951607230397
saturation_std,F_IMAGE_GLOBAL,abs_log_bias,0.042619793999104344,-0.17572388162134764,0.2526136187272211,0,0.5754651504741357,175,yes,ASSOCIATION only - no causal claim,0.7796624619327
local_contrast,F_IMAGE_GLOBAL,signed_log_bias,-0.00445141065830721,-0.21821954441569877,0.2207309229254195,0,0.9533783134803864,175,yes,ASSOCIATION only - no causal claim,0.9533783134803864
