physical_camera_id,n_sequences,sequences,mean_signed_log_bias,median_signed_log_bias,between_sequence_sd_log,min_signed_log_bias,max_signed_log_bias,range_log,sign_consistent,mean_signed_pct
brics-odroid-020_cam1,4,p36-tea-0010;p41-boxing-0021;p41-plant-0004;p44-dog-0004,-0.11008993439029116,-0.10535284120030777,0.028922437305846288,-0.14881117189706253,-0.0808428832634866,0.06796828863357593,1,-10.42464273774999
brics-odroid-021_cam0,5,p36-tea-0010;p41-boxing-0021;p41-plant-0004;p44-dog-0004;p52-instrument-0034,-0.13986943280383274,-0.14219334423904573,0.026230682685990044,-0.17445361929232808,-0.11087539009420855,0.06357822919811953,1,-13.052824752329117
brics-odroid-021_cam1,4,p36-tea-0010;p41-boxing-0021;p41-plant-0004;p44-dog-0004,-0.13338975064104389,-0.1455172127166308,0.047693836173022745,-0.1751636496438329,-0.06736092748708104,0.10780272215675187,1,-12.487605448671912
brics-odroid-022_cam0,4,p36-tea-0010;p41-boxing-0021;p41-plant-0004;p44-dog-0004,-0.07723878501580916,-0.09531299385957723,0.043359071427842975,-0.10571184057640826,-0.012617311767673951,0.09309452880873431,1,-7.433120862261122
brics-odroid-022_cam1,4,p36-tea-0010;p41-boxing-0021;p41-plant-0004;p44-dog-0004,-0.12442821948263123,-0.1106504537039438,0.07448290315466691,-0.2167349821768893,-0.059676988345748055,0.15705799383114125,1,-11.699835859370744
brics-odroid-023_cam0,5,p36-tea-0010;p41-boxing-0021;p41-plant-0004;p44-dog-0004;p52-instrument-0034,-0.060329356786318664,-0.05649814659698803,0.01217007975664128,-0.07410033476052041,-0.04582856058589986,0.028271774174620554,1,-5.854559188223451
brics-odroid-024_cam0,5,p36-tea-0010;p41-boxing-0021;p41-plant-0004;p44-dog-0004;p52-instrument-0034,-0.12913948326944205,-0.12898484503177784,0.0433626511108963,-0.19100863524315415,-0.06902704100429757,0.12198159423885657,1,-12.114862806680781
brics-odroid-024_cam1,4,p36-tea-0010;p41-boxing-0021;p41-plant-0004;p44-dog-0004,-0.14166637179170874,-0.12930985867461967,0.058819923091278654,-0.2207309381368095,-0.08731483168078606,0.13341610645602342,1,-13.208923229694026
brics-odroid-025_cam0,4,p36-tea-0010;p41-boxing-0021;p41-plant-0004;p44-dog-0004,-0.2926679858807981,-0.2987235862071742,0.04712967791981289,-0.3408401504133257,-0.2323846206955183,0.10845552971780742,1,-25.37301282960095
brics-odroid-025_cam1,5,p36-tea-0010;p41-boxing-0021;p41-plant-0004;p44-dog-0004;p52-instrument-0034,-0.13933062635283144,-0.0800432925858895,0.12946892587034675,-0.31533332570256134,-0.02222507127838614,0.2931082544241752,1,-13.005964430221095
brics-odroid-026_cam0,4,p36-tea-0010;p41-boxing-0021;p41-plant-0004;p44-dog-0004,-0.0677272175149496,-0.07467295688513989,0.05323322444448196,-0.12408672664292791,0.0025237703534092583,0.12661049699633717,0,-6.548464176666524
brics-odroid-026_cam1,4,p36-tea-0010;p41-boxing-0021;p41-plant-0004;p44-dog-0004,-0.05650907353521393,-0.05825078078152904,0.03080392444251439,-0.09081192384189427,-0.018722808735903367,0.07208911510599089,1,-5.4942090559976675
brics-odroid-027_cam0,5,p36-tea-0010;p41-boxing-0021;p41-plant-0004;p44-dog-0004;p52-instrument-0034,-0.05703077429852967,-0.031874249599420916,0.09091034002100624,-0.2105793212323066,0.03204912115313513,0.24262844238544173,0,-5.543499940606889
brics-odroid-027_cam1,5,p36-tea-0010;p41-boxing-0021;p41-plant-0004;p44-dog-0004;p52-instrument-0034,-0.14933432799777827,-0.15394454090621046,0.01500554142107708,-0.1677792134476481,-0.1273093790017334,0.040469834445914704,1,-13.871888363250473
brics-odroid-028_cam0,5,p36-tea-0010;p41-boxing-0021;p41-plant-0004;p44-dog-0004;p52-instrument-0034,-0.04141572059820696,-0.09739273265986498,0.1086144724829193,-0.1086555239748274,0.14578488560928565,0.25444040958411307,0,-4.0569807863201195
brics-odroid-029_cam0,4,p36-tea-0010;p41-boxing-0021;p41-plant-0004;p44-dog-0004,-0.05158115959580166,-0.09469380921139303,0.10547575076487167,-0.12168222337002937,0.10474520340960879,0.22642742677963817,0,-5.027343259008566
brics-odroid-029_cam1,4,p36-tea-0010;p41-boxing-0021;p41-plant-0004;p44-dog-0004,-0.09154191904989595,-0.09347080206436442,0.060502454839912186,-0.16202971775656091,-0.017196354314293984,0.14483336344226694,1,-8.747693674956547
brics-odroid-030_cam0,5,p36-tea-0010;p41-boxing-0021;p41-plant-0004;p44-dog-0004;p52-instrument-0034,-0.21741487320058311,-0.19943025179498247,0.057774572598089574,-0.3136431229803446,-0.17149916454705694,0.14214395843328764,1,-19.540390530500652
brics-odroid-030_cam1,5,p36-tea-0010;p41-boxing-0021;p41-plant-0004;p44-dog-0004;p52-instrument-0034,-0.17102246908952087,-0.17030067724124526,0.01679765289687293,-0.18897708339238573,-0.14519515390958654,0.04378192948279919,1,-15.719736374901272
